Account Number,Category,Subcategory1,Subcategory2,FY20 ACTUALS,FY21 ACTUALS,FY22 ACTUALS,FY23 ACTUALS,FY24 ACTUALS,FY25 BUDGET,FY26 BUDGET
010-000-4120-00,Taxes,Real Estate Tax,,16149147.84,16817002.16,17703542.94,18595282.21,20595560.47,21875587.57,22420018.57
010-000-4110-00,Taxes,Personal Property Tax,,545935.55,723838.4,628243.51,604626.86,641330.57,581406.77,631406.77
010-000-4142-00,Taxes,Rollback Tax,,435.34,5873.49,0,854.25,6086.19,0,0
010-000-4145-00,Taxes,Sale of Foreclosures,,0,89237.38,144829.27,0,39000,0,0
010-000-4173-00,Taxes,Tax Title ,,42641.57,84271.59,38515.87,57966.77,63101.31,0,0
010-000-4150-00,Local Receipts,Motor Vehicle Excise,,1442500.72,1536414.06,1492165.74,1654655.32,1654977.1,1654977,1654977
010-000-4674-00,Local Receipts,Meals Tax,,51111.33,59135.9,74742.96,69766.11,74069.61,74000,74000
010-000-4171-00,Local Receipts,Interest on Taxes,Penalties and Interest-Property Taxes,66466.98,88973.37,45278.39,78402.93,59705.42,60000,60000
010-000-4172-00,Local Receipts,Interest on Taxes,Penalties and Interest-Excise taxes,7264.24,12426.23,10959.32,9345.01,11563.9,11200,11200
010-000-4180-00,Local Receipts,Payments in Lieu of Taxes,,525860.45,525860.45,525860.45,557863.45,526660.73,526600,526600
010-000-4241-00,Local Receipts,Charges for Services,Ambulance,418486.9,565361.79,543696.12,504253.79,502219,502200,600000
010-000-4241-01,Local Receipts,Charges for Services,Ambulance HHS Medicare Reimb,0,0,75972,108185,77492.79,77400,55000
010-000-4241-02,Local Receipts,Charges for Services,Ambulance Intermunicpal ,0,0,23500,27000,27000,27000,27000
010-000-4242-00,Local Receipts,Charges for Services,Animal Control Officer,32072.84,30127.83,29090.91,39740.79,53000.32,93600,93600
010-000-4243-00,Local Receipts,Charges for Services,Dispatch,454285.82,426937.02,320146.11,282168.37,421254.57,472857,472857
010-000-4244-00,Local Receipts,Charges for Services,Water Indirect Charges,103485.06,115654.19,119601.08,124128.71,153652,156725,156725
