Account Number,Description,FY21 ACTUALS,FY22 ACTUALS,FY23 ACTUALS,FY24 BUDGET,FY24 ACTUALS,FY25 BUDGET
010-114-5100-00-0000,MODERATOR SALARY,75,0,75,75,75,75
010-161-5110-00-0000,TOWN CLERK SALARY,69333.89,72411.89,75376.16,82561.44,82561.44,83891.25
010-161-5120-00-0000,TOWN CLERK ASSISTANT SALARY,29599.88,30696.63,32566.16,37208.2,36450.17,40758
010-161-5140-00-0000,TOWN CLERK ADDITIONAL SALARY,1000,1000,1000,1000,1000,1000
010-162-5110-00-0000,ELECTION WAGES,13426.22,4235.71,14250,11000,18393.3,19500
010-163-5110-00-0000,REGISTRARS SALARY,300,300,300,300,300,350
010-163-5120-00-0000,REGISTRARS CLERICAL,197.54,0,200,200,0,200
010-161-5200-00-0000,TOWN CLERK PURCHASED SERVICES,1300,1300,1300,1300,1470,1300
010-162-5200-00-0000,ELECTIONS PURCHASED SERVICES,8259.61,4870.95,7500,6000,9000,9000
010-163-5200-00-0000,REGISTRARS PURCHASED SERVICES,1327,1600,1650,1650,1850,1650
010-161-5400-00-0000,TOWN CLERK SUPPLIES,951.08,447.34,775,775,923.21,775
010-162-5400-00-0000,ELECTIONS SUPPLIES,250,250,275,275,275,275
010-163-5400-00-0000,REGISTRARS SUPPLIES,200.09,235.14,275,275,275,275
010-114-5700-00-0000,MODERATOR OTHER CHARGES,0,0,0,50,0,50
010-161-5700-00-0000,TOWN CLERK OTHER CHARGES,150,350,525.06,700,700,700
010-122-5100-00-0000,SB MEMBER SALARIES,1350,1200,600,3000,2400,3000
010-122-5130-00-0000,SB SECRETARY SALARIES,2470.67,2704.57,1831.74,2650,2231.21,2800
010-129-5110-00-0000,TOWN ADMINISTRATOR SALARY,133974.68,144842.96,130401.6,126000,126006.4,128500
010-129-5115-00-0000,HR COORDINATOR SALARY,0,0,0,40106.6,43389.22,0
010-129-5120-00-0000,TOWN ADMIN EXEC ASST SALARY,33774.99,28992.53,29717.05,46262.91,43676.72,61367
010-129-5160-00-0000,INTERNSHIP PROG SALARY,0,0,0,10000,0,0
010-122-5200-00-0000,SB PURCH SERVICES,3470.3,5013.15,3976.84,9000,7862.08,8000
010-129-5200-00-0000,TOWN ADMIN PURCH SERVICES,950.25,1026.75,1245.19,12500,10212.17,20000
010-151-5200-00-0000,LEGAL PURCHASED SERVICES,20499.91,20465.54,48350.01,40000,48368.76,45000
010-195-5200-00-0000,TOWN REPORT PURCHASED SVC,1271,0,1281.27,1000,995.56,1000
010-122-5400-00-0000,SELECTBOARD SUPPLIES,2343.54,922.72,1620.87,2000,1789.43,3500
010-129-5400-00-0000,TOWN ADMIN SUPPLIES,609.11,428.83,590.74,1000,539.35,1000
010-122-5700-00-0000,SELECTBOARD OTHER CHARGES,1246.71,1067,859,2311,41.93,2000
010-129-5700-00-0000,TOWN ADMIN OTHER CHARGES,362.19,2617.96,1614.93,3500,2988.52,3500
010-692-5700-00-0000,300TH ANNIVERSARY CELEBRATION,0,14853.02,50157.81,0,#N/A,0
010-145-5110-00-0000,TREASURER / COLLECTOR SALARY,80000,82000,84000,90000,90000,96919
010-145-5120-00-0000,ASST. TREASURER SALARY,48487.84,49657,54035.34,58498.05,58051.51,60836.4
010-145-5130-00-0000,PAYROLL/AP ASSISTANT SALARY,0,0,0,16592.46,7056.06,17276.28
010-145-5140-00-0000,TREASURER ADDITIONAL SALARY,1000,1000,1000,1000,1000,1000
010-145-5200-00-0000,TREASURER PURCHASED SERVICES,17431.15,15172,20792.39,21490,21326.33,21919.8
010-158-5200-00-0000,TAX TITLE PURCHASED SERVICES,9660.47,5137.09,6000,11000,10981.94,11000
010-159-5200-00-0000,POSTAGE PURCHASED SERVICES,2813.95,1719.96,2299.96,2280,1791.15,1750
010-160-5200-00-0000,MACHINE & PAPER PURCHASED SVC,1775.43,2543.86,2478.08,2555,1905.96,2700
010-145-5400-00-0000,TREASURER SUPPLIES,1081.31,2232.22,1324.09,1800,1611.48,2000
010-158-5400-00-0000,TAX TITLE SUPPLIES,569.42,155.14,1385.76,1400,1400,1400
010-159-5400-00-0000,POSTAGE SUPPLIES,17619.48,19830,19187.23,20440,21958.43,22400
010-160-5400-00-0000,MACHINE & PAPER SUPPLIES,324.61,736.18,848.25,950,1502.04,1150
010-145-5700-00-0000,TREASURER OTHER CHARGES,197.7,242.14,541.96,700,291.93,700
010-135-5110-00-0000,TOWN ACCOUNTANT SALARY,0,2500,41480.73,42330,42330.6,90000
010-135-5200-00-0000,ACCOUNTANT PURCHASED SVCS,30000,27500,0,0,12500,0
010-135-5210-00-0000,TOWN AUDIT PURCHASED SVCS,6000,38000,34500,26000,26000,32500
010-135-5220-00-0000,OPEB ACTUARIAL STUDY,0,5800,0,6000,6000,0
010-135-5230-00-0000,FINANCIAL SOFTWARE,5400,6085,6531.92,6860,6858.51,4290
010-135-5400-00-0000,ACCOUNTANT SUPPLIES,653.94,38.99,942.31,950,904.43,950
010-135-5700-00-0000,ACCOUNTANT OTHER EXPENSES,200,19.6,168.08,200,200,400
010-141-5100-00-0000,ASSESSORS MEMBER SALARY,1500,750,1500,1500,1500,1500
010-141-5110-00-0000,PRINCIPAL ASSESSOR,0,0,0,78998.24,78395.2,80270.65
010-141-5130-00-0000,ASSESSORS ADMIN WAGES,23373.18,23626.01,46182.72,17859.78,16842.81,24357
010-141-5200-00-0000,ASSESSORS PURCHASED SERVICES,91397.96,94765.96,78431.81,25078.92,25571.19,40000
010-141-5400-00-0000,ASSESSORS SUPPLIES,676.98,633.08,1003.8,1000,1003.84,1000
010-141-5700-00-0000,ASSESSORS OTHER CHARGES,7500,241.5,650,650,700,1500
010-155-5200-00-0000,IT PURCHASED SVCS,45295.74,35988.32,38728.57,51208,0,85000
010-156-5200-00-0000,TOWN PHONES - ALL DEPTS,11973.53,16259.01,15549.98,15000,17053.83,15000
010-155-5400-00-0000,IT SUPPLIES,0,0,25.99,640,0.57,500
010-155-5850-00-0000,E-PERMITTING SOFTWARE,22578,22578,26646.33,28196,28196,35190.75
010-199-5110-00-0000,COMMUNITY TELEVISION WAGES,34340.43,44124.76,39233.52,62888,45889.8,57000
010-199-5200-00-0000,COMM. TV PURCHASED SERVICES,9167.37,1064.38,22468.46,17437,18749.6,18000
010-199-5202-00-0000,COMM. TV CLOSED CAPTION,0,0,0,6000,5850,0
010-199-5400-00-0000,COMMUNITY TELEVISION SUPPLIES,21745.18,11710.22,1400.22,10000,9169.99,8000
010-199-5700-00-0000,COMM. TV OTHER EXPENSES,0,0,0,22000,2332.38,13000
010-199-5800-00-0000,COMM. TV CAPITAL OUTLAY,0,37815,5945.95,130896,40785.94,64000
010-171-5110-00-0000,CONSERVATION AGENT SALARY,0,0,0,21243,5664.65,0
010-175-5100-00-0000,PLANNING BOARD WAGES,0,2000,2000,2500,2000,2500
010-175-5110-00-0000,TOWN PLANNER SALARY,71011.2,79057,76004.16,82561.44,70833.6,91800
010-171-5200-00-0000,CONSERVATION PURCHASED SERVICES,0,0,154,0,#N/A,300
010-175-5200-00-0000,PLANNING PURCHASED SERVICES,0,2399.74,2722.57,3000,2790.62,2700
010-171-5400-00-0000,CONSERVATION SUPPLIES,36.95,100,16.58,100,#N/A,100
