Department Code,Account Number,Department Name,Function
114,010-114-5100-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5110-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5120-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5140-00-0000,Town Clerk / Town Meeting,General Government
162,010-162-5110-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5110-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5120-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5200-00-0000,Town Clerk / Town Meeting,General Government
162,010-162-5200-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5200-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5400-00-0000,Town Clerk / Town Meeting,General Government
162,010-162-5400-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5400-00-0000,Town Clerk / Town Meeting,General Government
114,010-114-5700-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5700-00-0000,Town Clerk / Town Meeting,General Government
122,010-122-5100-00-0000,Select Board / Town Administrator,General Government
122,010-122-5130-00-0000,Select Board / Town Administrator,General Government
129,010-129-5110-00-0000,Select Board / Town Administrator,General Government
129,010-129-5115-00-0000,Select Board / Town Administrator,General Government
129,010-129-5120-00-0000,Select Board / Town Administrator,General Government
129,010-129-5160-00-0000,Select Board / Town Administrator,General Government
122,010-122-5200-00-0000,Select Board / Town Administrator,General Government
129,010-129-5200-00-0000,Select Board / Town Administrator,General Government
151,010-151-5200-00-0000,Select Board / Town Administrator,General Government
195,010-195-5200-00-0000,Select Board / Town Administrator,General Government
122,010-122-5400-00-0000,Select Board / Town Administrator,General Government
129,010-129-5400-00-0000,Select Board / Town Administrator,General Government
122,010-122-5700-00-0000,Select Board / Town Administrator,General Government
129,010-129-5700-00-0000,Select Board / Town Administrator,General Government
692,010-692-5700-00-0000,Select Board / Town Administrator,General Government
155,010-155-5210-00-0000,Information Technology,General Government
155,010-155-5220-00-0000,Information Technology,General Government
156,010-156-5200-00-0000,Information Technology,General Government
155,010-155-5400-00-0000,Information Technology,General Government
155,010-155-5850-00-0000,Information Technology,General Government
199,010-199-5110-00-0000,Community Televsion,General Government
199,010-199-5200-00-0000,Community Televsion,General Government
199,010-199-5202-00-0000,Community Televsion,General Government
199,010-199-5400-00-0000,Community Televsion,General Government
199,010-199-5700-00-0000,Community Televsion,General Government
199,010-199-5800-00-0000,Community Televsion,General Government
131,010-131-5120-00-0000,Boards & Commissions,General Government
176,010-176-5120-00-0000,Boards & Commissions,General Government
176,010-176-5200-00-0000,Boards & Commissions,General Government
179,010-179-5200-00-0000,Boards & Commissions,General Government
182,010-182-5200-00-0000,Boards & Commissions,General Government
691,010-691-5200-00-0000,Boards & Commissions,General Government
